FECHA	HORA	PM2.5	SO2	NO	NO2	PM10	NOx	O3
19/01/2023	08	5	3	1	24	13	25	25
19/01/2023	09	4	3	1	12	10	13	43
19/01/2023	10	4	3	1	10	9	11	49
19/01/2023	11	5	3	1	5	17	7	57
19/01/2023	12	4	3	1	4	11	5	59
19/01/2023	13	4	3	1	5	8	6	57
19/01/2023	14	4	3	1	7	7	7	56
19/01/2023	15	4	3	1	6	7	7	58
19/01/2023	16	4	3	1	7	7	8	58
19/01/2023	17	4	3	1	10	7	11	54
19/01/2023	18	6	3	1	13	9	14	46
19/01/2023	19	7	3	1	13	10	14	47
19/01/2023	20	7	3	1	10	12	11	49
19/01/2023	21	6	3	1	9	9	10	46
19/01/2023	22	5	3	1	7	7	7	54
19/01/2023	23	4	3	1	5	6	6	58
20/01/2023	00	4	3	1	3	5	4	61
20/01/2023	01	4	3	1	3	5	4	60
20/01/2023	02	4	3	1	3	5	3	61
20/01/2023	03	3	3	1	3	4	3	60
20/01/2023	04	3	3	1	3	4	4	60
20/01/2023	05	3	3	1	4	4	4	57
20/01/2023	06	3	3	1	7	4	8	47
20/01/2023	07	5	3	2	25	7	28	17
20/01/2023	08	4	3	5	17	8	23	43
20/01/2023	09	3	3	1	8	8	9	60
20/01/2023	10	8	3	1	5	43	6	68
20/01/2023	11	9	3	1	4	65	5	69
20/01/2023	12	4	3	1	4	14	5	69
20/01/2023	13	3	3	1	4	6	5	68
20/01/2023	14	3	3	1	5	5	5	73
20/01/2023	15	4	3	1	5	8	5	76
20/01/2023	16	4	3	1	5	8	5	74
20/01/2023	17	4	3	1	6	8	7	72
20/01/2023	18	6	3	1	11	15	12	57
20/01/2023	19	5	3	1	17	9	18	47
20/01/2023	20	4	3	1	20	7	21	43
20/01/2023	21	7	3	1	27	12	28	27
20/01/2023	22	17	3	1	29	23	30	19
20/01/2023	23	19	3	1	25	25	27	23
21/01/2023	00	19	3	1	24	25	25	16
21/01/2023	01	21	3	1	30	30	32	12
21/01/2023	02	13	3	1	19	17	19	24
21/01/2023	03	7	3	1	11	9	12	38
21/01/2023	04	6	3	1	10	9	11	33
21/01/2023	05	5	3	1	9	6	9	43
21/01/2023	06	3	3	1	5	4	5	60
21/01/2023	07	3	3	1	5	5	6	61
21/01/2023	08	6	3	4	16	9	22	35
21/01/2023	09	12	3	10	23	20	38	19
21/01/2023	10	6	3	1	8	10	10	62
21/01/2023	11	4	3	1	4	8	5	71
21/01/2023	12	5	3	1	5	9	6	68
21/01/2023	13	6	3	1	6	10	7	68
21/01/2023	14	4	3	1	5	8	6	70
21/01/2023	15	4	3	1	4	8	5	72
21/01/2023	16	4	3	1	4	8	5	73
21/01/2023	17	4	3	1	5	9	6	68
21/01/2023	18	4	3	1	11	7	12	54
21/01/2023	19	3	3	1	5	8	6	62
21/01/2023	20	4	3	1	3	10	4	65
21/01/2023	21	7	3	1	3	35	3	67
21/01/2023	22	5	3	1	2	11	3	67
21/01/2023	23	4	3	1	1	12	2	69
22/01/2023	00	3	3	1	1	5	2	71
22/01/2023	01	4	3	1	1	5	2	70
22/01/2023	02	3	3	1	1	4	2	69
22/01/2023	03	3	3	1	1	4	2	70
22/01/2023	04	3	3	1	1	4	2	68
22/01/2023	05	3	3	1	1	4	2	67
22/01/2023	06	4	3	1	2	4	2	65
22/01/2023	07	3	3	1	2	4	3	62
22/01/2023	08	3	3	1	4	4	4	60
22/01/2023	09	4	3	1	3	5	4	61
22/01/2023	10	4	3	1	3	5	3	64
22/01/2023	11	3	3	1	2	5	2	68
22/01/2023	12	3	3	1	2	4	3	70
22/01/2023	13	3	3	1	2	5	3	70
22/01/2023	14	4	3	1	3	5	3	70
22/01/2023	15	4	3	1	4	5	4	69
22/01/2023	16	5	3	1	6	10	7	65
22/01/2023	17	4	3	1	5	6	6	68
22/01/2023	18	6	3	1	9	9	9	55
22/01/2023	19	5	3	1	6	8	7	60
22/01/2023	20	4	3	1	3	7	4	66
22/01/2023	21	5	3	1	3	7	4	66
22/01/2023	22	5	3	1	2	6	3	65
22/01/2023	23	4	3	1	2	5	3	65
23/01/2023	00	9	3	1	2	27	3	66
23/01/2023	01	5	3	1	2	6	2	66
23/01/2023	02	4	3	1	2	5	2	66
23/01/2023	03	5	3	1	7	9	8	54
23/01/2023	04	4	3	1	5	6	6	60
23/01/2023	05	4	3	1	2	6	3	62
23/01/2023	06	10	3	9	25	24	38	19
23/01/2023	07	8	3	8	28	15	39	16
23/01/2023	08	11	3	20	38	25	69	6
23/01/2023	09	12	3	26	37	32	77	10
23/01/2023	10	8	3	5	17	14	23	40
23/01/2023	11	6	3	1	5	9	6	64
23/01/2023	12	5	3	1	4	8	5	67
23/01/2023	13	5	3	1	4	8	4	67
23/01/2023	14	4	3	1	4	7	5	68
23/01/2023	15	4	3	1	6	7	6	66
23/01/2023	16	4	3	1	7	7	7	64
23/01/2023	17	5	3	1	14	9	15	50
23/01/2023	18	5	3	1	10	9	11	58
23/01/2023	19	6	3	1	22	13	23	35
23/01/2023	20	7	3	1	10	14	11	57
23/01/2023	21	19	3	8	38	34	50	8
23/01/2023	22	21	3	3	26	28	30	18
23/01/2023	23	14	3	2	17	25	18	30
24/01/2023	00	11	3	1	12	15	13	36
24/01/2023	01	13	3	1	10	16	11	38
24/01/2023	02	16	3	1	11	18	12	34
24/01/2023	03	8	3	1	8	10	9	44
24/01/2023	04	7	3	1	5	11	6	46
24/01/2023	05	9	3	1	6	16	7	42
24/01/2023	06	6	3	1	10	8	10	38
24/01/2023	07	8	3	1	16	11	17	25
24/01/2023	08	9	3	1	18	14	19	24
24/01/2023	09	12	3	6	24	23	33	18
24/01/2023	10	10	3	3	13	15	18	39
24/01/2023	11	11	3	1	9	14	10	51
24/01/2023	12	10	3	1	8	13	8	56
24/01/2023	13	7	3	1	6	9	7	62
24/01/2023	14	8	3	1	6	10	6	62
24/01/2023	15	7	3	1	5	9	6	66
24/01/2023	16	7	3	1	5	9	6	66
24/01/2023	17	8	3	1	6	10	7	65
24/01/2023	18	10	3	1	9	14	9	57
24/01/2023	19	13	3	1	18	20	18	35
24/01/2023	20	17	3	1	28	27	29	20
24/01/2023	21	18	3	1	25	23	26	24
24/01/2023	22	19	3	1	23	26	24	24
24/01/2023	23	21	3	1	26	31	28	16
25/01/2023	00	18	3	4	17	32	21	30
25/01/2023	01	16	3	1	14	28	15	31
25/01/2023	02	12	3	1	9	13	9	41
25/01/2023	03	15	3	1	7	16	8	42
25/01/2023	04	12	3	1	7	14	8	41
25/01/2023	05	9	3	1	8	10	9	41
25/01/2023	06	8	3	1	12	10	13	32
25/01/2023	07	9	3	1	22	14	23	15
25/01/2023	08	11	3	8	31	19	43	8
25/01/2023	09	12	3	13	34	27	53	9
25/01/2023	10	11	3	6	26	21	35	21
25/01/2023	11	12	3	3	18	22	22	40
25/01/2023	12	8	3	1	9	17	10	66
25/01/2023	13	8	3	1	9	17	9	67
25/01/2023	14	8	3	1	8	16	9	71
25/01/2023	15	8	3	1	9	17	10	72
25/01/2023	16	10	3	1	10	29	11	69
25/01/2023	17	11	3	1	12	29	13	61
25/01/2023	18	11	3	1	24	27	25	40
25/01/2023	19	12	3	11	46	25	62	5
25/01/2023	20	14	3	13	49	25	70	5
25/01/2023	21	17	3	18	47	27	74	8
25/01/2023	22	22	3	9	44	32	57	8
25/01/2023	23	20	3	5	32	26	40	20
26/01/2023	00	9	3	1	8	14	9	59
26/01/2023	01	7	3	1	7	9	8	57
26/01/2023	02	8	3	1	8	10	9	55
26/01/2023	03	9	3	1	9	10	10	49
26/01/2023	04	8	3	1	8	10	9	47
26/01/2023	05	9	3	1	9	10	9	44
26/01/2023	06	9	3	1	13	11	13	31
26/01/2023	07	9	3	3	28	11	33	9
26/01/2023	08	11	3	19	35	19	64	5
26/01/2023	09	15	3	23	33	26	67	11
26/01/2023	10	20	3	25	34	33	71	18
26/01/2023	11	22	3	17	28	35	54	26
26/01/2023	12	14	3	4	15	19	21	48
26/01/2023	13	7	3	2	9	11	12	56
26/01/2023	14	6	3	2	8	9	11	61
26/01/2023	15	5	3	2	5	8	8	66
26/01/2023	16	5	3	2	8	8	10	61
26/01/2023	17	6	3	2	8	9	10	62
26/01/2023	18	6	3	2	17	12	19	42
26/01/2023	19	8	3	2	28	14	31	25
26/01/2023	20	17	3	7	37	28	47	8
26/01/2023	21	22	3	13	38	30	57	8
26/01/2023	22	25	3	28	39	38	83	8
26/01/2023	23	33	3	26	38	65	78	9
27/01/2023	00	18	3	2	22	22	25	23
27/01/2023	01	15	3	2	15	21	19	32
27/01/2023	02	11	3	1	7	12	9	51
27/01/2023	03	9	3	1	6	11	8	49
27/01/2023	04	9	3	1	8	11	10	45
27/01/2023	05	8	3	1	10	11	12	42
27/01/2023	06	8	3	1	16	12	18	29
27/01/2023	07	11	3	5	30	16	38	6
27/01/2023	08	12	3	26	37	22	77	6
27/01/2023	09	15	3	24	34	26	70	12
27/01/2023	10	13	3	19	31	23	60	22
27/01/2023	11	13	3	13	25	21	46	32
27/01/2023	12	8	3	5	16	14	24	49
27/01/2023	13	14	3	7	23	23	32	49
27/01/2023	14	6	3	1	9	9	10	67
27/01/2023	15	5	3	1	8	7	10	69
27/01/2023	16	5	3	1	8	8	9	73
27/01/2023	17	5	3	1	10	8	11	68
27/01/2023	18	5	3	1	14	10	16	62
27/01/2023	19	12	3	2	43	21	46	25
27/01/2023	20	17	3	3	51	28	55	13
27/01/2023	21	15	3	1	36	24	38	27
27/01/2023	22	10	3	1	22	15	23	36
27/01/2023	23	9	3	2	17	15	20	41
28/01/2023	00	7	3	2	12	10	15	48
28/01/2023	01	4	3	1	4	6	6	58
28/01/2023	02	4	3	4	3	6	8	58
28/01/2023	03	4	3	1	1	5	2	60
28/01/2023	04	5	3	1	1	6	2	63
28/01/2023	05	3	3	1	1	4	2	61
28/01/2023	06	4	3	1	2	5	3	55
28/01/2023	07	5	3	1	5	6	7	49
28/01/2023	08	6	3	1	12	8	14	41
28/01/2023	09	7	3	2	14	10	16	41
28/01/2023	10	8	3	4	16	12	24	42
28/01/2023	11	7	3	4	14	12	21	51
28/01/2023	12	6	3	1	8	9	10	62
28/01/2023	13	5	3	2	7	7	9	59
28/01/2023	14	4	3	1	9	5	11	63
28/01/2023	15	4	3	1	4	6	6	72
28/01/2023	16	4	3	1	1	7	2	78
28/01/2023	17	4	3	1	1	7	3	76
28/01/2023	18	5	3	1	6	9	8	66
28/01/2023	19	6	3	1	6	10	8	64
28/01/2023	20	15	3	1	33	22	35	26
28/01/2023	21	21	3	1	33	27	34	27
28/01/2023	22	17	3	1	27	20	29	33
28/01/2023	23	16	3	1	18	19	20	44
29/01/2023	00	15	3	1	23	17	25	35
29/01/2023	01	12	3	1	13	14	15	48
29/01/2023	02	10	3	1	9	12	10	47
29/01/2023	03	11	3	1	12	13	14	37
29/01/2023	04	10	3	1	7	11	9	42
29/01/2023	05	7	3	1	3	9	5	49
29/01/2023	06	8	3	1	5	10	7	43
29/01/2023	07	7	3	1	7	9	9	38
29/01/2023	08	6	3	1	8	8	10	38
29/01/2023	09	8	3	1	11	11	12	34
29/01/2023	10	8	3	1	8	10	9	46
29/01/2023	11	10	3	1	4	19	6	53
29/01/2023	12	7	3	1	2	11	3	64
29/01/2023	13	7	3	1	1	11	2	67
29/01/2023	14	7	3	1	1	10	2	67
29/01/2023	15	7	3	1	1	9	2	67
