FECHA	HORA	SO2	NO	NO2	NOx	O3
09/01/2023	09	3	6	23	32	25
09/01/2023	10	3	3	11	16	44
09/01/2023	11	3	4	7	13	49
09/01/2023	12	3	3	7	11	51
09/01/2023	13	4	2	6	10	54
09/01/2023	14	4	2	5	9	57
09/01/2023	15	4	2	6	10	59
09/01/2023	16	3	2	8	11	56
09/01/2023	17	3	2	15	18	48
09/01/2023	18	3	2	16	18	45
09/01/2023	19	3	2	27	31	29
09/01/2023	20	3	3	40	45	10
09/01/2023	21	3	17	51	78	3
09/01/2023	22	3	10	46	62	5
09/01/2023	23	3	2	23	26	25
10/01/2023	00	3	1	8	11	45
10/01/2023	01	3	1	9	11	38
10/01/2023	02	3	2	13	16	30
10/01/2023	03	3	2	11	14	33
10/01/2023	04	3	2	11	13	30
10/01/2023	05	3	2	9	11	34
10/01/2023	06	3	2	17	20	22
10/01/2023	07	3	4	27	32	15
10/01/2023	08	3	19	43	73	3
10/01/2023	09	3	12	32	51	12
10/01/2023	10	3	8	20	32	24
10/01/2023	11	3	6	15	24	33
10/01/2023	12	3	8	18	29	30
10/01/2023	13	3	5	11	18	36
10/01/2023	14	3	2	7	11	47
10/01/2023	15	3	3	8	13	45
10/01/2023	16	3	3	15	20	35
10/01/2023	17	3	4	29	36	22
10/01/2023	18	3	12	44	61	6
10/01/2023	19	4	24	55	91	4
10/01/2023	20	3	2	33	36	18
10/01/2023	21	3	4	36	42	16
10/01/2023	22	3	11	45	61	4
10/01/2023	23	3	27	50	91	3
11/01/2023	00	3	15	44	67	3
11/01/2023	01	3	4	34	42	5
11/01/2023	02	3	4	30	36	5
11/01/2023	03	3	5	29	37	3
11/01/2023	04	3	6	29	38	3
11/01/2023	05	3	4	25	31	4
11/01/2023	06	3	2	22	26	8
11/01/2023	07	4	11	31	48	5
11/01/2023	08	4	15	29	52	5
11/01/2023	09	3	5	18	26	15
11/01/2023	10	3	5	12	21	22
11/01/2023	11	3	6	11	20	23
11/01/2023	12	3	7	13	23	24
11/01/2023	13	3	6	12	20	26
11/01/2023	14	3	5	10	17	29
11/01/2023	15	3	3	9	14	35
11/01/2023	16	3	4	16	21	28
11/01/2023	17	3	4	25	31	15
11/01/2023	18	3	3	31	35	10
11/01/2023	19	3	15	41	64	4
11/01/2023	20	3	31	41	89	2
11/01/2023	21	3	28	41	84	2
11/01/2023	22	3	6	26	34	14
11/01/2023	23	3	2	9	12	39
12/01/2023	00	3	2	11	13	37
12/01/2023	01	3	2	19	22	20
12/01/2023	02	3	2	17	20	19
12/01/2023	03	3	2	17	19	19
12/01/2023	04	3	2	17	20	14
12/01/2023	05	3	2	16	19	16
12/01/2023	06	3	2	17	21	25
12/01/2023	07	3	4	29	35	17
12/01/2023	08	5	6	32	41	13
12/01/2023	09	6	4	17	24	28
12/01/2023	10	6	11	25	41	24
12/01/2023	11	4	15	29	52	22
12/01/2023	12	3	8	18	29	31
12/01/2023	13	3	5	11	18	35
12/01/2023	14	3	4	12	18	37
12/01/2023	15	3	3	11	16	41
12/01/2023	16	3	3	13	16	45
12/01/2023	17	3	3	19	23	39
12/01/2023	18	3	2	27	31	27
12/01/2023	19	3	3	36	41	16
12/01/2023	20	3	7	43	53	6
12/01/2023	21	3	21	44	76	2
12/01/2023	22	3	9	36	50	4
12/01/2023	23	3	5	34	41	4
13/01/2023	00	3	4	32	38	4
13/01/2023	01	3	9	29	42	3
13/01/2023	02	3	2	19	23	10
13/01/2023	03	5	2	16	19	12
13/01/2023	04	6	2	16	18	12
13/01/2023	05	7	3	17	21	9
13/01/2023	06	7	3	19	24	12
13/01/2023	07	7	35	38	91	2
13/01/2023	08	6	69	42	147	2
13/01/2023	09	5	41	40	103	3
13/01/2023	10	3	30	36	82	8
13/01/2023	11	3	16	30	55	12
13/01/2023	12	3	9	21	34	24
13/01/2023	13	3	10	22	37	22
13/01/2023	14	3	5	15	23	31
13/01/2023	15	3	5	18	26	36
13/01/2023	16	3	5	24	32	28
13/01/2023	17	3	8	38	51	18
13/01/2023	18	4	66	58	160	2
13/01/2023	19	3	61	57	150	3
13/01/2023	20	3	77	57	175	3
13/01/2023	21	3	36	45	101	4
13/01/2023	22	3	68	48	152	4
13/01/2023	23	3	46	43	114	3
14/01/2023	00	3	12	34	52	4
14/01/2023	01	3	4	30	36	5
14/01/2023	02	3	3	25	30	8
14/01/2023	03	3	2	7	10	28
14/01/2023	04	3	2	8	10	24
14/01/2023	05	3	2	14	17	15
14/01/2023	06	3	2	20	24	10
14/01/2023	07	3	2	23	27	9
14/01/2023	08	3	9	28	42	3
14/01/2023	09	4	9	22	35	12
14/01/2023	10	4	10	19	34	17
14/01/2023	11	3	9	16	30	22
14/01/2023	12	3	6	12	21	28
14/01/2023	13	3	4	10	17	33
14/01/2023	14	3	6	15	24	34
14/01/2023	15	3	3	8	12	41
14/01/2023	16	3	2	7	10	46
14/01/2023	17	3	3	24	29	31
14/01/2023	18	3	4	38	45	15
14/01/2023	19	3	4	31	36	19
14/01/2023	20	3	3	34	38	14
14/01/2023	21	3	4	43	49	5
14/01/2023	22	3	2	19	21	25
14/01/2023	23	3	2	12	15	32
15/01/2023	00	3	2	10	12	37
15/01/2023	01	3	2	4	7	44
15/01/2023	02	3	2	4	7	45
15/01/2023	03	3	2	3	5	46
15/01/2023	04	3	2	3	5	45
15/01/2023	05	3	2	3	6	43
15/01/2023	06	3	2	4	7	41
15/01/2023	07	3	1	5	7	40
15/01/2023	08	3	2	9	12	35
15/01/2023	09	4	2	5	7	40
15/01/2023	10	5	2	5	7	38
15/01/2023	11	4	2	5	8	41
15/01/2023	12	4	2	4	7	41
15/01/2023	13	3	2	4	8	42
15/01/2023	14	4	2	4	7	43
15/01/2023	15	4	2	4	7	42
15/01/2023	16	5	2	3	7	39
15/01/2023	17	4	2	4	8	37
15/01/2023	18	4	2	7	10	31
15/01/2023	19	4	2	15	19	21
15/01/2023	20	4	5	24	31	11
15/01/2023	21	3	4	28	33	7
15/01/2023	22	3	4	30	36	7
15/01/2023	23	3	2	10	13	26
16/01/2023	00	3	2	7	10	29
16/01/2023	01	3	2	7	9	
16/01/2023	02	4	2	5	7	
16/01/2023	03	5	2	3	6	
16/01/2023	04	6	2	2	5	
16/01/2023	05	6	2	3	6	
