FECHA	HORA	NH3	SO2	NO	NO2	NOx	O3
10/01/2023	07	4	6	20	41	70	9
10/01/2023	08	3	6	6	37	46	13
10/01/2023	09	3	6	11	31	47	19
10/01/2023	10	3	6	19	31	61	18
10/01/2023	11	4	5	8	17	29	30
10/01/2023	12	5	4	3	7	12	
10/01/2023	13	5	4	2	5	8	47
10/01/2023	14	5	4	2	5	9	52
10/01/2023	15	5	3	3	6	10	51
10/01/2023	16	5	4	3	8	12	38
10/01/2023	17	5	4	2	16	20	29
10/01/2023	18	5	4	8	31	43	42
10/01/2023	19	5	4	22	52	86	23
10/01/2023	20	5	4	19	55	84	21
10/01/2023	21	5	4	11	50	67	5
10/01/2023	22	4	6	34	52	103	3
10/01/2023	23	4	6	56	51	136	3
11/01/2023	00	4	6	21	43	75	3
11/01/2023	01	4	6	11	33	49	3
11/01/2023	02	4	6	11	31	48	4
11/01/2023	03	3	7	21	27	59	3
11/01/2023	04	3	8	29	26	71	4
11/01/2023	05	3	8	18	32	60	5
11/01/2023	06	3	6	1	25	27	15
11/01/2023	07	3	6	2	19	22	17
11/01/2023	08	3	6	8	22	34	14
11/01/2023	09	3	6	7	20	30	20
11/01/2023	10	3	5	5	11	18	26
11/01/2023	11	4	5	4	7	13	31
11/01/2023	12	5	4	5	6	14	34
11/01/2023	13	6	4	4	7	12	18
11/01/2023	14	6	4	3	5	9	36
11/01/2023	15	6	4	2	7	11	46
11/01/2023	16	7	4	3	13	18	37
11/01/2023	17	6	4	12	24	41	12
11/01/2023	18	6	4	9	38	52	17
11/01/2023	19	6	4	8	31	44	21
11/01/2023	20	7	5	29	39	83	7
11/01/2023	21	6	4	11	33	50	10
11/01/2023	22	5	5	8	27	38	26
11/01/2023	23	5	4	2	13	16	47
12/01/2023	00	5	5	3	23	27	17
12/01/2023	01	5	5	1	16	18	14
12/01/2023	02	5	5	1	12	14	15
12/01/2023	03	4	5	2	17	19	11
12/01/2023	04	3	5	1	10	11	28
12/01/2023	05	3	6	3	24	29	12
12/01/2023	06	3	6	5	32	38	12
12/01/2023	07	3	7	27	46	86	5
12/01/2023	08	3	9	76	52	170	4
12/01/2023	09	3	8	67	52	153	5
12/01/2023	10	4	7	31	35	82	17
12/01/2023	11	5	6	8	18	30	32
12/01/2023	12	5	4	4	7	13	
12/01/2023	13	6	4	4	7	13	30
12/01/2023	14	6	4	5	11	19	27
12/01/2023	15	7	5	9	19	32	27
12/01/2023	16	6	4	6	19	28	
12/01/2023	17	6	4	7	26	37	42
12/01/2023	18	7	5	5	29	37	28
12/01/2023	19	6	5	5	36	44	20
12/01/2023	20	5	4	6	35	45	12
12/01/2023	21	5	5	20	45	75	4
12/01/2023	22	5	6	13	41	61	4
12/01/2023	23	5	6	17	38	64	3
13/01/2023	00	5	7	17	31	56	3
13/01/2023	01	4	6	23	30	66	3
13/01/2023	02	4	6	18	25	52	3
13/01/2023	03	3	6	15	21	44	3
13/01/2023	04	3	7	17	23	49	3
13/01/2023	05	3	6	14	25	47	4
13/01/2023	06	3	7	38	32	89	2
13/01/2023	07	3	9	70	44	151	2
13/01/2023	08	3	9	83	46	173	5
13/01/2023	09	4	10	83	48	174	4
13/01/2023	10	3	7	27	34	76	12
13/01/2023	11	4	6	7	18	27	24
13/01/2023	12	5	6	7	13	23	29
13/01/2023	13	6	4	4	12	19	38
13/01/2023	14	7	4	3	5	10	28
13/01/2023	15	7	5	8	20	32	33
13/01/2023	16	9	5	7	27	37	47
13/01/2023	17	7	5	4	30	36	42
13/01/2023	18	7	6	54	60	143	9
13/01/2023	19	7	5	58	58	147	3
13/01/2023	20	7	7	76	54	171	4
13/01/2023	21	5	6	33	43	92	3
13/01/2023	22	5	7	52	43	122	3
13/01/2023	23	5	6	25	41	78	5
14/01/2023	00	4	6	21	35	67	4
14/01/2023	01	4	7	13	31	50	4
14/01/2023	02	4	6	1	22	23	10
14/01/2023	03	3	6	1	11	11	24
14/01/2023	04	4	7	2	13	15	17
14/01/2023	05	3	6	1	14	15	12
14/01/2023	06	3	7	2	15	18	12
14/01/2023	07	3	8	21	26	59	5
14/01/2023	08	4	8	12	23	41	6
14/01/2023	09	3	7	16	22	45	10
14/01/2023	10	4	7	8	11	23	18
